Company Name,Headcount,Employee Size,Industry,Product and Services,Description,SEO Description,Website,LinkedIn,X (Twitter),Facebook,Instagram,Company Type,Number of Locations,Primary Company Phone,Founding Year,Annual Revenue,Total Funding,Last Funding Type,Last Funding Amount,Last Funding Date,AI Ark Account ID,Company Store?,Store URL,Signal
Deltek,4779,1001-5000,software development,"project management, project management software, erp, project-based erp, accounting software, government contracting, architecture & engineering, government contract management software, construction management, professional services, talent management, hr solutions, saas, project accounting software, hcm, financial management, cloud computing","When the margin for error is razor-thin, Deltek helps you deliver. 

We’re the intelligent platform for high-stakes work that runs on the project lifecycle —designed for the way you actually work. With purpose-built ERP, governance and control built in, and industry-tuned intelligence at every step of the lifecycle — win, plan, execute, analyze — Deltek helps you move fast without losing control. 

Trusted by 30,000 organizations when the work has to work.","An easy-to-use field app built for architects and engineers that automates field reports, site inspections and punch lists saving valuable time.",deltek.com,https://www.linkedin.com/company/deltek,https://x.com/Deltek,http://www.facebook.com/deltekinc,,PUBLIC_COMPANY,0,,1983,500000000-999999999,2000019,PRIVATE_EQUITY,,2012-01-01,a9fc3d46-3ad2-0fc9-db0f-4890c85fd5e7,No,,no separate store detected
US LBM,4778,10001+,wholesale building materials,"building materials, lumber, truss manufacturing, k&b design, ewp design","US LBM is a leading national distributor of building materials to construction professionals, including new homebuilders, commercial builders and remodelers. US LBM’s more than 450 locations across the country consist of lumber yards, distribution centers, kitchen and bath showrooms, hardware stores and truss manufacturing plants which distribute a comprehensive portfolio of specialty building products, such as windows, doors, millwork, wallboard, roofing, siding, decking, engineered components and cabinetry along with lumber and engineered wood products. 

US LBM’s divisions serve multiple major metropolitan markets, including New York, Chicago, Philadelphia, Dallas-Fort Worth, Atlanta, Houston, Washington, DC, Boston and Phoenix, and operate under several local brand names, many of which are among the most well-known names in building materials distribution. US LBM’s brands include ALCO Doors, Arizona Building Supply, Arrow Building Center, Bailey Lumber & Supply, Barrons, Bellevue Builders Supply, Brand Vaughan Lumber, Breckenridge & Edwards Building Centers, Darby Doors, Deering Lumber, Desert Companies, East Haven & Ridgefield Building Supply, Evergreen Lumber, Forge Lumber, Foxworth-Galbraith Lumber, GBS Builders Supply, Gilcrest/Jewett Lumber, Higginbotham Brothers, Hines Building Supply, Jennings Builders Supply, Myers Building Product Specialists, Junior's Building Supplies, KI Lumber, Lampert Lumber, Lumber Specialties, Lyman Companies, Maner Builders Supply, Manning Building Supply, Massey Builders Supply, Myrtle Beach Building Supply, Meek’s, Mid-Cape Home Centers, Musselman Lumber, NexGen, Parker’s Building Supply, Poulin Lumber, Professional Builders Supply, RAKS Building Supply, Raymond Building Supply, Ridout Lumber, Shelly's Supply, Standard Lumber & Supply, Texas Building Supply, Universal Supply, Wisconsin Building Supply and Zeeland Lumber & Supply.",,uslbm.com,https://www.linkedin.com/company/uslbm,,,,PRIVATELY_HELD,0,,2009,100000000-499999999,0,PRIVATE_EQUITY,,2023-10-16,a29434e9-7fad-2c0f-6e49-06f7edc9ca34,No,,no separate store detected
Procore Technologies,4744,1001-5000,software development,"construction software, construction project management software, online project management software, web-based construction management tools, ipad for construction, construction submittals, iphone for construction, construction project software","Procore Technologies, Inc. (NYSE: PCOR) is a leading technology partner for every stage of construction. With more than two decades of experience, over three million projects in 150+ countries have run on Procore’s purpose-built, unified platform. From project planning to completion, Procore’s innovative technology delivers AI & data-driven insights to help teams drive efficiency and mitigate risks.

By harnessing the power of technology and deep industry expertise, Procore is committed to shaping a better future for construction professionals, projects, and communities. Whether it’s a small-scale build or a large-scale infrastructure portfolio, Procore connects every stakeholder through seamless communication and collaboration, delivering the solutions and insights needed to overcome challenges and achieve success throughout the construction lifecycle.","The all-in-one construction management software built to help you finish quality projects—safely, on time, and within budget.",procore.com,https://www.linkedin.com/company/procore-technologies,https://x.com/procoretech,http://www.facebook.com/procore.tech,,PUBLIC_COMPANY,0,+1 866 477 6267,2002,500000000-999999999,654024981,POST_IPO_SECONDARY,4070000,2023-09-21,614f50a4-c657-bb02-91f4-6c8218ecd872,No,,no separate store detected
Copeland,4691,10001+,renewable energy semiconductor manufacturing,,"Copeland is a global leader in sustainable climate solutions. We help commercial, industrial, refrigeration and residential customers reduce their carbon emissions and improve energy efficiency.​

We are addressing issues like climate change, growing populations, electricity demands, and complex global supply chains with innovations that:​

Advance energy transition in heating, cooling and cold chain solutions.​

Accelerate the adoption of refrigerants that reduced climate impact.​

Safeguard critical goods like food and medicine through the refrigerated supply chain (cold chain).​

Sustainability has been at the heart of who we are for over 100 years.​

We are backed by 18,000 talented colleagues globally with feet on the ground in more than 40 countries – a global presence that makes it possible to serve customers wherever they are in the world and meet challenges with scale and speed. Our industry-leading brands and diversified portfolio deliver innovation and technology proven in over 200 million installations worldwide.​

Together, we create sustainable solutions that improve lives and protect the planet today and for future generations. ​",Sustainability is no small ambition. That’s why Copeland is built for action on a global scale. Everything we do is geared toward a more sustainable future—for our generation and all those to come.,copeland.com,https://www.linkedin.com/company/copeland,,https://www.facebook.com/CopelandCompanyLP,,PRIVATELY_HELD,0,+1 844 529 7943,1971,100000000-499999999,3500000000,SECONDARY_MARKET,3500000000,2024-06-06,1a78b8c0-edfd-2196-4dbf-9275ff177009,No,,no separate store detected
Arconic,4638,10001+,manufacturing,"aerospace, automotive, building and construction, commercial transportation, defense and space, industrial solutions, engineering, innovation, technology, packaging","Arconic Corporation, headquartered in Pittsburgh, Pennsylvania, is a leading provider of aluminum sheet, plate and extrusions, as well as innovative architectural products, that advance the ground transportation, aerospace, building and construction, industrial, and packaging end markets. 

Keep up with us here to find out how we're helping to advance the automotive, aerospace, commercial transportation, industrial, packaging and building and construction markets.

Social Media Disclaimer
We welcome conversation on our LinkedIn page about anything relevant to Arconic and its products. We do ask that everyone follow a few simple guidelines: Please keep it professional and refrain from profanity, direct personal criticism aimed at Arconic employees or speculation about the company. Please do not post copyrighted or confidential material. Anything that violates these guidelines, Arconic policies, or that we find to be otherwise inappropriate for any reason may be hidden or removed.",,arconic.com,https://www.linkedin.com/company/arconic,https://x.com/arconic,https://www.facebook.com/arconic,,PUBLIC_COMPANY,0,+1 412 315 2984,2016,100000000-499999999,,,,,b4e4c0e1-9d3a-69eb-fbaf-26636c28c8ae,No,,no separate store detected
Hexagon Asset Lifecycle Intelligence,4637,10001+,software development,"enterprise engineering software, oil and gas, construction, engineering and design, information management, power, mining, project controls, chemical, 3d design software and technology, industry 4.0, cloud, iot, aec, shipbuilding, fabrication","Hexagon’s Asset Lifecycle Intelligence division helps clients design, construct and operate more profitable, safe and sustainable industrial facilities. We empower customers to unlock data, accelerate industrial project modernization and digital maturity, increase productivity and move the sustainability needle.  

Headquartered in Madison, Alabama, USA, our 2,400 employees are located on five continents and serve customers in over 80 countries.

Hexagon's Asset Lifecycle Intelligence division is part of Hexagon (Nasdaq Stockholm: HEXA B; Hexagon.com), a global leader in sensor, software, and autonomous solutions whose technologies are shaping urban and production ecosystems to become increasingly connected and autonomous – ensuring a scalable, sustainable future.","La gamma di software CAD CAM (progettazione e produzione assistita da computer) di Hexagon consente alle aziende di generare, gestire e ottimizzare i…",hexagon.com,https://www.linkedin.com/company/hexagonassetlifecycleintelligence,,,,PUBLIC_COMPANY,0,+1 468 601 2620,,500000000-999999999,,,,,32da651d-be27-ca1a-92bc-d366f090bc15,No,,no separate store detected
JE Dunn Construction,4631,5001-10000,construction,"construction management, design-build, building information modeling, program management, self-perform concrete and masonry, cm at risk, general contracting, mission critical, healthcare, advanced industries, virtual design and construction","JE Dunn Construction is a family- and employee-owned company and the sixth-largest domestic general contractor in the United States, with 26 offices nationwide. We provide construction management, design-build, and integrated construction services across a wide range of markets. From design and preconstruction through closeout, we work in close partnership with our clients to deliver safe, high-quality projects nationwide. Building authentic partnerships and a shared commitment to doing the right thing guides our work.  

John Ernest (Ernie) Dunn founded JE Dunn Construction Company in Kansas City, Missouri, in 1924. His philosophy was simple: Treat people fairly and offer clients quality service at a fair price. His vision and approach to conducting business still influence our people and our work today. 

Since our founding, JE Dunn has grown into a trusted partner with offices in 17 states. Our longevity and continued growth are a direct result of our people and the relationships they build every day. We take a resolute responsibility for our role in each project and for the communities we serve. 

At JE Dunn, people come first. As an employee-owned construction company, we’ve spent more than 100 years creating a culture of inclusion and belonging. Our success is powered by our people and our shared commitment to doing the right thing, giving back, and building authentic partnerships in the communities where we live and work. These principles drive our vision to enrich lives through inspired people and places. 

We believe successful projects start with people. Our teams take time to understand each client’s journey and remain flexible, accountable, and transparent from start to finish. Through unmatched communication and ongoing collaboration, we bring the right people and the right tools together to support informed decisions, reduce risk, and deliver outcomes aligned with project goals. 

Ready to work with us? Learn more at jedunn.com.",JE Dunn is one of the largest domestic general building contractors in the United States with our successful portfolio spanning across dozens of Industries.,jedunn.com,https://www.linkedin.com/company/je-dunn-construction,https://x.com/jedunn,https://www.facebook.com/jedunnconstruction,,PRIVATELY_HELD,0,,1924,100000000-499999999,,,,,6e198d8f-edf2-7492-ba3e-e89da0ba7128,No,,no separate store detected
StandardAero,4625,5001-10000,aviation and aerospace component manufacturing,"aviation maintenance, repair & overhaul, business aviation maintenance, aircraft maintenance, helicopter maintenance, aircraft mro services","StandardAero is organized in two distinctive divisions, Engine Services and Component Repair Services.  These two divisions represent the core strengths of StandardAero, our exhaustive engine maintenance, repair and overhaul services capabilities and our significant portfolio of component repair services for business aviation, commercial aviation, military, fixed wing, helicopter and industrial power customers. To deliver our mission, we employ nearly 7,500 talented and experienced professional, administrative and technical employees that work in 49 primary facilities worldwide, with additional strategically located regional service and support centers all across the globe.


StandardAero is OEM authorized and approved for aircraft and rotorcraft engines, auxiliary power units, components; airframe services including major alterations; FAA authorized avionics capabilities; comprehensive engineering services; and custom exterior and interior design, completion, and paint. We provide these capabilities through our network of specialized facilities and mobile service teams.

We’ve solved some of the biggest aviation challenges through ingenuity, teamwork and collaboration. Our culture is built on respect, open communication and recognition for a job well done. We focus on teamwork to create a supportive environment where everyone can bring their skills and perspectives to the table. With over 100 years of experience in the aviation industry, we have the stability, resources and training to help our team achieve their career goals.","One of the worlds largest independent maintenance, repair and overhaul (MRO) providers",standardaero.com,https://www.linkedin.com/company/standardaero,https://x.com/standardaero,https://www.facebook.com/standardaero,,PUBLIC_COMPANY,0,,1911,500000000-999999999,1848000000,POST_IPO_SECONDARY,840000000,2025-05-21,8b85b24a-1d64-28ae-81cd-0e590446622a,No,,no separate store detected
Acuren,4624,5001-10000,public safety,"nde/ndt inspection, reliability engineering, advanced nde/ndt, materials testing laboratory, materials engineering, rope access inspection (rat intl), condition based monitoring, failure analysis, training (hellier ndt)","Acuren (NYSE: TIC) is a leading provider of critical asset integrity services. The company operates primarily in North America serving a broad range of industrial markets. It provides these essential and often compliance-mandated (often at customer locations) services in the industrial space and is focused on the recurring maintenance needs of its customers. The work Acuren does fits in the service category referred to as Testing, Inspection and Certification (TIC) including Nondestructive Testing (“NDT”) in the field and the laboratory and in-lab destructive testing capabilities.","Acuren provides state-of-the-art nondestructive testing, inspection, engineering & rope access enabled industrial services throughout NA and the UK.",acuren.com,https://www.linkedin.com/company/acuren,https://x.com/@acuren_ndt,https://www.facebook.com/AcurenGroup,,PUBLIC_COMPANY,0,,1974,100000000-499999999,0,PRIVATE_EQUITY,,2019-12-01,7b5ee018-d357-de24-5eda-28081a6acb3d,No,,no separate store detected
"China Railway Construction Co., Ltd.",4620,0-1,civil engineering,,"China Railway Construction is a civil engineering company based out of BEIJING. China Railway Construction representatives, don’t miss out on opportunities to build relationships with members on LinkedIn. Claim your page, write a simple description, and share content to attract followers that can lead to new customers, brand fans, and future employees. Go here to get started: http://linkd.in/1DUpBvu",,crcc.cn,https://www.linkedin.com/company/china-railway-construction-co-ltd-,https://x.com/crecofficial,https://www.facebook.com/CRCC.com.cn,,PUBLIC_COMPANY,0,+86 10 5188 8114,1990,100000000-499999999,561987187,POST_IPO_DEBT,561987187,2025-11-11,cd37a748-fe73-8332-2804-0f05be284fe4,No,,no separate store detected
Devon Energy,4547,1001-5000,oil and gas,"oil, natural gas, natural gas liquids, energy, exploration, production, data science, technology, health & safety, geology, geophysics, engineering, petroleum engineering, accounting, finance, geoscience, it, project management, reservoir engineering, analytics, accounting, intelligent automation, artificial intelligence, robotic process automation","Devon Energy is a leading oil and gas producer in the U.S. with a premier multi-basin portfolio headlined by a world-class acreage position in the Delaware Basin. Devon’s disciplined cash-return business model is designed to achieve strong returns, generate free cash flow and return capital to shareholders, while focusing on safe and sustainable operations. 

Headquartered in Oklahoma City, Devon is a Fortune 500 company and is included in the S&P 500 Index. Its common shares trade on the New York Stock Exchange under the ticker symbol DVN.",,devonenergy.com,https://www.linkedin.com/company/devon-energy,https://x.com/DevonEnergy,https://www.facebook.com/devonenergy,,PUBLIC_COMPANY,0,,1971,100000000-499999999,,PRIVATE_EQUITY,,2019-12-31,e2650882-b196-6a7c-8b37-d767b3c229e5,No,,no separate store detected
EOG Resources,4497,1001-5000,oil and gas,"oil, natural gas, natural gas liquids","EOG Resources, Inc. is one of the largest crude oil and natural gas exploration and production companies in the United States with proved reserves in the United States and Trinidad.

EOG is driven from the bottom up by our innovative and highly engaged employees, we are a collaborative organization where employees continuously learn from one another. By providing employees with a quality environment in which to work, and by maintaining a consistent college recruiting and internship program, EOG is able to attract and retain some of the industry’s best and brightest – individuals who will embrace the company’s culture and our commitment to sustainability and corporate responsibility.

We are focused on being among the lowest cost, highest return and lowest emissions producers, and playing a significant role in the long-term future in energy. If you’re interested in joining us, visit: https://www.eogresources.com/culture/

EOG COMMUNITY GUIDELINES 
 
EOG Resources, Inc. is not responsible for any content or comments published by third parties.  Any user-generated content published on this page is the sole responsibility of the user. To maintain a respectful discussion, EOG please asks that you respect the following: 
•	You agree to not post anything that is spam, abusive, profane, crude, defamatory or libelous toward a person, entity or belief 
•	You agree to not post false or incorrect information 
•	You agree to not post personal information (e.g.- email address, phone number).
 
EOG reserves the right to delete comments that violate these guidelines or are otherwise deemed inappropriate. Please direct all questions, issues or inquiries as appropriate using the Contact Us page on our website, at https://www.eogresources.com/company/contacts/",,eogresources.com,https://www.linkedin.com/company/eog-resources,,,,PUBLIC_COMPANY,0,,1999,100000000-499999999,1000000000,POST_IPO_SECONDARY,1000000000,2022-08-24,6e11bc73-b599-4af2-b5f2-7c5e9c91cf50,No,,no separate store detected
Hess Corporation,4443,1001-5000,oil and gas,exploration and production,"Hess Corporation is a global independent energy company engaged in the exploration and production of crude oil and natural gas. We are an industry leader in the Bakken shale play in North Dakota, one of the largest producers in the deepwater Gulf of Mexico and a key natural gas producer and supplier to Peninsular Malaysia and Thailand. Hess is also engaged in exploration and appraisal activities offshore Guyana, participating in one of the industry’s largest oil discoveries in the past decade, as well as in the Gulf of Mexico and Suriname. Globally, Hess is recognized as an industry leader in environmental, social and governance performance and disclosure.

At Hess, six core values guide our actions as individuals at work and as a corporation: Integrity, People, Performance, Value Creation, Social Responsibility and Independent Spirit. They are the basic building blocks of our organization's culture and represent our company's collective conscience. While our strategy changes over time based on business conditions, our values are enduring.

We are committed to meeting the world's growing need for energy while making a positive impact on the communities where we do business. We strive each day to ensure the safety of our workforce and host communities while preserving the environment.

COMMUNITY GUIDELINES 
Hess is not responsible for any content or comments published by 3rd party members. Any user-generated content published on this page is the sole responsibility of the user. To maintain a respectful discussion, our team asks that you respect the following:
-You agree to not post anything that is spam, abusive, profane, crude, defamatory or libelous toward a person, entity or belief
-You agree to not post false or incorrect information 
-You agree to not post personal information (e.g. email address, phone number)

Hess welcomes your feedback. We ask that you send all questions, issues or inquiries through our website’s Contact Us page: www.hess.com/company/contact","Find out about Hess Corporation, a global company devoted to exploring oil, gas and energy solutions, and about investing on our official website.",hess.com,https://www.linkedin.com/company/hess-corporation,https://x.com/HessCorporation,http://www.facebook.com/hesscorporation,,PUBLIC_COMPANY,0,,1919,500000000-999999999,,,,,36e28606-1db9-3add-6bd2-6a155f25ccb8,No,,no separate store detected
Martin Marietta,4391,5001-10000,mining,"aggregates, ready mix concrete, asphalt, magnesium hydroxide, magnesium oxide, dolomitic lime","Every member of our ONE Martin Marietta team is driven by our shared values of safety, integrity, excellence, community and stewardship. 

Our goal is to build a world-class organization committed to the long-term success of our employees, communities and other shareholders. We are a member of the S&P 500 Index and a leading supplier of aggregates and heavy building materials. Through a network of operations spanning 28 states, Canada and the Bahamas, our teammates supply the foundational resources on which our communities thrive and grow. Our Specialties business provides high-purity magnesia and dolomitic lime products used worldwide in environmental, industrial, agricultural and specialty applications.

 We provide exceptional customer service and strive to be good neighbors in the 500 communities in which we operate. We also support each other while working to build a legacy that will make our loved ones proud. We know that together, we’ll make an impact that lasts far beyond tomorrow.","A leading supplier of construction aggregates and heavy building materials, with over 500 locations spanning 30 states, Canada and the Caribbean.",martinmarietta.com,https://www.linkedin.com/company/martinmarietta,,,,PUBLIC_COMPANY,0,+1 919 781 4550,1994,100000000-499999999,,,,,ccfc061d-338f-517c-8022-01d968883228,No,,no separate store detected
